Leap Product,Company ObjectId,Account Name,Tier,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,Starting Month,NAICS Code,Primary Classification,New Classifications,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Rough Months,Rough LTV,Consolidated Census Bands,Census Bands,Consolidated Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR,Account Last Visit,Account Usage Trending,SalesPro Visits Last 30 Days
Leap,ozSQqlwz5E,Security Luebke Roofing,Tier 2,Enterprise 2021,0014100001VCKf5,5618,10/30/23,11/30/22,11,not found,Contractors - Roofing,Construction and Renovation Services,30,95,2850,0,"$25,650 ",54915,Appleton,WI,Sydney Stansell,Sydney Stansell,2850,13,37050.0,50-249 employees,50-99 employees,7,20,0,30,0,2850,12/10/23,Decreasing,1534
Leap,1iBpvMXtIe,Sir Home Improvements,Tier 3,Premium 2019,0011K00002AGMS3,1912,10/24/23,5/24/19,5,not found,Contractors - Building,Construction and Renovation Services,28,85,2380,0,"$107,205 ",49087,Schoolcraft,MI,Yesenia Romero,Yesenia Romero,2380,55,130900.0,50-249 employees,50-99 employees,7,25,0,28,0,2380,12/10/23,Decreasing,3527
Leap,YvwgRzIMGt,Southern National Roofing,Tier 1,Enterprise 2021,0011K00002VN5HJ,3514,10/27/23,7/27/22,7,not found,Contractors - Roofing,Construction and Renovation Services,25,112.5,2812.5,1500,"$30,861 ",,,MD,Sydney Stansell,Sydney Stansell,2812.5,17,47812.5,50-249 employees,50-99 employees,7,,0,25,0,2812.5,12/9/23,No Change,201
Leap,udTJYB2qBA,"Superior Aluminum Installations, Inc.",Tier 1,Premium 2019,0014100000iAjVj,1131,10/27/23,8/27/17,8,not found,Contractors - Building,Construction and Renovation Services,1,95,95,2500,"$13,928 ",32792,Winter Park,FL,Sydney Phillips,Sydney Phillips,95,76,7220.0,50-249 employees,50-99 employees,7,6,0,1,0,95,6/19/23,No Change,0
Leap,69tcuGyDm4,The Basement Doctor,Tier 3,Premium 2019,0014100001ZNDul,1280,10/30/23,4/30/18,4,not found,Contractors - Building,Construction and Renovation Services,26,79.2,2059.2,2500,"$114,340 ",43068,Reynoldsburg,OH,Sydney Stansell,Sydney Stansell,2059.2,68,140025.6,50-249 employees,50-99 employees,7,11,0,26,0,2059.2,12/11/23,Decreasing,0
Leap,a16oNbOg1O,Tundraland,Tier 3,Enterprise 2021,0014100000P0wie,6211,10/28/23,2/28/23,2,not found,,Other,67,75,5025,0,"$38,535 ",54130,Kaukauna,Wisconsin,Jordan Kahlenberg,Jordan Kahlenberg,5025,10,50250.0,50-249 employees,50-99 employees,7,51,0,67,0,5025,12/11/23,Decreasing,8175
Leap,Cyutnmg0Uu,Victors Roofing,Tier 2,Premium 2021,0011K00002H5nlf,3039,10/24/23,8/24/21,8,238160,Contractors - Roofing,Construction and Renovation Services,51,99,5049,1500,"$97,475 ",48188,Canton,MI,Jordan Kahlenberg,Jordan Kahlenberg,5049,28,141372.0,50-249 employees,50-99 employees,7,25,0,51,0,5049,12/11/23,Decreasing,7608
Leap,XoQ5hyuNeF,Wright's Impact Window & Door,Tier 2,Enterprise 2021,0011K00002JVxzq,2973,10/18/23,6/18/21,6,423310,Glass Products & Services,Design and Interior Services,65,90,5850,0,"$161,958 ",33405,West Palm Beach,FL,Sydney Stansell,Sydney Stansell,5850,30,175500.0,50-249 employees,50-99 employees,7,16,0,65,0,5850,12/11/23,Decreasing,6343
Leap,9aVekA8HlT,Your Remodeling Guys dba Revelare Kitchens,Tier 3,Premium 2021,0011K00002U4Zes,3311,10/28/23,2/28/22,2,not found,Home Improvement & Remodeling Services,Construction and Renovation Services,55,60,3300,0,"$56,975 ",17402,York,PA,Jordan Kahlenberg,Jordan Kahlenberg,3300,22,72600.0,50-249 employees,50-99 employees,7,,0,55,0,3300,12/11/23,Increasing,2778
Leap,Xjndt345Um,Advanced Window Systems LLC,Tier 1,Premium 2020,0014100000tIPBP,2860,10/30/23,3/19/21,3,423310,Glass Products & Services,Design and Interior Services,24,54.45,1306.8,0,"$32,916 ",6037,Berlin,CT,Sydney Stansell,Sydney Stansell,1306.8,33,43124.4,20-49 employees,20-49 employees,5.5,11,0,24,0,1306.8,12/10/23,Decreasing,2965
Leap,M8ZMOzsA8v,Allied Remodeling of Central Maryland,Tier 2,Enterprise 2021,0014100000iBjPl,2906,10/28/23,4/28/21,4,not found,Contractors - Roofing,Construction and Renovation Services,20,95,1900,0,"$55,100 ",21286,Towson,MD,Sydney Stansell,Sydney Stansell,1900,32,60800.0,20-49 employees,20-49 employees,5.5,17,0,20,0,1900,12/11/23,Decreasing,1280
Leap,bUuD68AYzm,American Design & Build,Tier 3,Premium 2019,0014100000EQQIN,1006,11/1/23,10/10/16,10,not found,Contractors - Roofing,Construction and Renovation Services,32,60,1920,15000,"$149,407 ",21014,Bel Air,MD,Sydney Stansell,Sydney Stansell,1920,86,165120.0,20-49 employees,20-49 employees,5.5,26,0,32,0,1920,12/10/23,Decreasing,1016
Leap,LJ0Naot2EZ,"American WeatherTechs, LLC",Tier 3,Enterprise 2021,0014100001aGIax,2939,10/17/23,5/17/21,5,not found,Glass Products & Services,Design and Interior Services,20,105,2100,0,"$60,878 ",45069,West Chester,OH,Sydney Stansell,Sydney Stansell,2100,31,65100.0,20-49 employees,20-49 employees,5.5,12,0,20,0,2100,12/9/23,Increasing,2312
Leap,porkSyfuRt,Ameritech Construction Corp,Tier 2,Premium 2019,0014100001CqnHV,1214,10/17/23,1/17/18,1,not found,Glass Products & Services,Design and Interior Services,22,50,1100,2500,"$75,596 ",22043,Falls Church,Virginia,Jordan Kahlenberg,Jordan Kahlenberg,1100,71,78100.0,20-49 employees,20-49 employees,5.5,20,0,22,0,1100,12/10/23,Decreasing,1667
Leap,dSIkSeo5ZA,Anderson Cabinet Company LLC,Tier 3,Premium 2021,0011K00002Sh5GN,3086,10/28/23,9/28/21,9,not found,Cabinets & Countertops,Design and Interior Services,41,79.2,3247.2,0,"$72,474 ",49512,Grand Rapids,MI,Jordan Kahlenberg,Jordan Kahlenberg,3247.2,27,87674.4,20-49 employees,20-49 employees,5.5,,0,41,0,3247.2,12/11/23,Increasing,3215
Leap,caCGAaap4Q,ASP Windows and Doors,Tier 2,Premium 2019,0011K000029ifb3,1830,10/19/23,4/19/19,4,423310,Glass Products & Services,Design and Interior Services,21,88,1848,0,"$89,271 ",33166,Miami,FL,Francesca Furnells,Francesca Furnells,1848,56,103488.0,20-49 employees,20-49 employees,5.5,12,0,21,0,1848,12/10/23,Decreasing,1984
Leap,4Dkc2qVhNZ,Bath Fitter Utah,Tier 3,Enterprise 2021,0011K00002LT2Pk,2900,10/22/23,4/22/21,4,not found,,Other,20,125,2500,0,"$64,743 ",,,UT,Yesenia Romero,Yesenia Romero,2500,32,80000.0,20-49 employees,20-49 employees,5.5,11,0,20,0,2500,12/10/23,Decreasing,4259
Leap,3s2IUR7ffV,Bath Planet of San Antonio dba Energy Home Pros,Tier 3,Premium 2019,0014100000Q6k9t,2078,10/17/23,9/17/19,9,not found,Glass Products & Services,Design and Interior Services,40,55,2200,2000,"$58,875 ",78217,San Antonio,TX,Yesenia Romero,Yesenia Romero,2200,51,112200.0,20-49 employees,20-49 employees,5.5,25,0,40,0,2200,12/11/23,Decreasing,6015
Leap,p8oNMqprta,Bath Pro,Tier 3,Premium 2021,0014100001dLd6u,3134,10/30/23,10/29/21,10,not found,Contractors - Building,Construction and Renovation Services,22,90,1980,0,"$34,116 ",,Clemmons,NC,Sydney Stansell,Sydney Stansell,1980,26,51480.0,20-49 employees,20-49 employees,5.5,,0,22,0,1980,12/11/23,Increasing,1379
Leap,jrKHphMsMD,BathWorks of Michigan LLc,Tier 3,Premium 2020,0011K00002J4j0O,2763,10/18/23,12/18/20,12,not found,Contractors - Building,Construction and Renovation Services,26,105,2730,1250,"$37,328 ",49428,Georgetown Twp.,MI,Yesenia Romero,Yesenia Romero,2730,36,98280.0,20-49 employees,20-49 employees,5.5,,0,26,0,2730,12/9/23,Decreasing,2124
Leap,n5SquieqaL,Bordner Home Solutions,Tier 3,Enterprise 2021,0014100000RvyJj,3627,10/28/23,9/28/22,9,not found,Construction Supplies & Services,Engineering and Technical Services,22,85,1870,0,"$30,019 ",80919,Colorado Springs,CO,Corey Stroup Mishenko,Corey Stroup Mishenko,1870,15,28050.0,20-49 employees,20-49 employees,5.5,15,0,22,0,1870,12/11/23,Decreasing,1510
Leap,CAwzsO0R9x,Chouinard Bros.,Tier 2,Premium 2019,0014100001aEx80,2052,10/27/23,8/27/19,8,not found,Contractors - Roofing,Construction and Renovation Services,14,88,1232,1500,"$64,457 ",L4G 7P4,Aurora,Ont.,Sydney Stansell,Sydney Stansell,1232,52,64064.0,20-49 employees,20-49 employees,5.5,21,0,14,0,1232,12/9/23,Decreasing,214
Leap,t3rPwSnVx0,Coastal Windows & Exteriors Inc.,Tier 2,Enterprise 2021,0014100001Bie6T,3089,10/28/23,9/28/21,9,238170,Contractors - Roofing,Construction and Renovation Services,34,100,3400,0,"$43,617 ",1915,Beverly,MA,Jordan Kahlenberg,Jordan Kahlenberg,3400,27,91800.0,20-49 employees,20-49 employees,5.5,,0,34,0,3400,12/11/23,Decreasing,2046
Leap,LS485Wopx5,Colorado Living,Tier 3,Enterprise 2021,0011K000027S7Pa,5706,10/15/23,12/15/22,12,not found,Contractors - Building,Construction and Renovation Services,25,100,2500,1500,"$21,500 ",,,CO,Yesenia Romero,Yesenia Romero,2500,12,30000.0,20-49 employees,20-49 employees,5.5,,0,25,0,2500,9/28/23,No Change,0
Leap,hnFLSpPeCK,Continental Siding Supply,Tier 3,Premium 2021,0011K00002RUK1O,3368,10/30/23,3/30/22,3,not found,Contractors - Siding,Construction and Renovation Services,21,70,1470,0,"$21,335 ",64014,Blue Springs,MO,Sydney Stansell,Sydney Stansell,1470,21,30870.0,20-49 employees,20-49 employees,5.5,15,0,21,0,1470,12/10/23,Decreasing,3529
Leap,tNmUcNLCis,Crawl Space Ninja,Tier 3,Premium 2019,0014100001JVWNC,1228,10/9/23,2/9/18,2,not found,Home Improvement & Remodeling Services,Construction and Renovation Services,30,88,2640,1500,"$125,409 ",37932,Knoxville,TN,Jordan Kahlenberg,Jordan Kahlenberg,2640,70,184800.0,20-49 employees,20-49 employees,5.5,3,0,30,0,2640,12/11/23,Decreasing,1757
Leap,FsTwFdBDGf,Dream Home NJ,Tier 3,Premium 2020,0011K00002OjoK4,2812,11/3/23,2/3/21,2,not found,Contractors - Roofing,Construction and Renovation Services,45,99,4455,500,"$122,159 ",8043,Voorhees,NJ,Jordan Kahlenberg,Jordan Kahlenberg,4455,34,151470.0,20-49 employees,20-49 employees,5.5,,0,45,0,4455,12/11/23,Increasing,5239
Leap,arEWYIbg0n,Elevated Roofing,Tier 2,Premium 2019,0011K000026Ju3i,1588,10/28/23,2/28/19,2,238160,Contractors - Roofing,Construction and Renovation Services,10,77,770,1250,"$56,655 ",75034,Frisco,TX,Jordan Kahlenberg,Jordan Kahlenberg,770,58,44660.0,20-49 employees,20-49 employees,5.5,15,0,10,0,770,12/10/23,Decreasing,0
Leap,ZBOAidWz1D,Euro-Tech Inc.,Tier 3,Premium 2019,0014100001aF4H2,1405,10/16/23,11/16/18,11,not found,Glass Products & Services,Design and Interior Services,24,80,1920,2500,"$109,562 ",60106,Bensenville,IL,Sydney Stansell,Sydney Stansell,1920,61,117120.0,20-49 employees,20-49 employees,5.5,20,0,24,0,1920,12/9/23,Decreasing,818
Leap,mwcEPVjVwS,Freddy & Son Roofing,Tier 2,Enterprise 2021,0011K00002LRmN9,3477,10/14/23,6/27/22,6,238160,Contractors - Roofing,Construction and Renovation Services,26,112.5,2925,0,"$44,258 ",,,Virginia,Colton Temanson,Colton Temanson,2925,18,52650.0,20-49 employees,20-49 employees,5.5,,0,26,0,2925,12/10/23,Decreasing,180
Leap,zlP8NEy0pE,Gilkey Window Company,Tier 3,SalesPro Enterprise 2023,0011K00002bqJDs,6482,10/12/23,4/12/23,4,423310,,Other,30,103,3090,0,"$18,540 ",,,OH,Sydney Stansell,Sydney Stansell,3090,8,24720.0,20-49 employees,20-49 employees,5.5,30,0,30,0,3090,12/11/23,Decreasing,785
Leap,wvj6u3wY0T,Guardian Garage ATL,Tier 3,SalesPro Enterprise 2023,0011K00002bsKNA,6367,10/27/23,3/27/23,3,not found,,Other,22,100,2200,0,"$15,400 ",30120,Cartersville,GA,Jordan Kahlenberg,Jordan Kahlenberg,2200,9,19800.0,20-49 employees,20-49 employees,5.5,,0,22,0,2200,11/2/23,Decreasing,0
Leap,fmhCv4YDQv,Gutter Guards America,Tier 1,SalesPro Enterprise 2023,0011K00002NFhKd,6816,10/30/23,6/30/23,6,not found,Cleaning Services & Supplies,Specialized Home Services,20,103.2,2064,1000,"$9,256 ",,Raleigh,NC,Colton Temanson,Colton Temanson,2064,6,12384.0,20-49 employees,20-49 employees,5.5,6,0,20,0,2064,12/11/23,Decreasing,378
Leap,fbbi1AEhBN,Home Concepts Custom Remodeling / Luxury Bath of Phoenix,Tier 3,Premium 2021,0014100001yScln,2974,10/18/23,6/18/21,6,236118,Contractors - Building,Construction and Renovation Services,20,84,1680,0,"$44,026 ",85282,Tempe,AZ,Jordan Kahlenberg,Jordan Kahlenberg,1680,30,50400.0,20-49 employees,20-49 employees,5.5,,0,20,0,1680,12/11/23,Decreasing,4139
Leap,PPXEUgagVi,Home Forever Inc.,Tier 3,Premium 2019,0011K00002H3lrB,2228,10/10/23,12/10/19,12,not found,,Other,25,77,1925,500,"$74,047 ",61048,Lena,IL,Sydney Stansell,Sydney Stansell,1925,48,92400.0,20-49 employees,20-49 employees,5.5,6,0,25,0,1925,12/10/23,Increasing,3720
Leap,M7x4rOn34p,Home Smart,Tier 3,Enterprise 2021,0014100000yw6zY,6054,10/27/23,1/27/23,1,not found,Contractors - Building,Construction and Renovation Services,35,115,4025,0,"$28,789 ",19014,Philadelphia,PA,Yesenia Romero,Yesenia Romero,4025,11,44275.0,20-49 employees,20-49 employees,5.5,8,0,35,0,4025,12/10/23,Increasing,2749
Leap,aiSaCkHIOF,HomePride,Tier 3,Premium 2019,0014100001dKC5M,1425,10/31/23,12/28/18,12,not found,Contractors - Building,Construction and Renovation Services,20,95,1900,2000,"$112,196 ",80104,Castle Rock,CO,Colton Temanson,Colton Temanson,1900,60,114000.0,20-49 employees,20-49 employees,5.5,1,0,20,0,1900,12/10/23,Decreasing,2289
Leap,HSCfFOfbFt,IBEX Roof,Tier 3,Enterprise 2021,0011K00002U3Why,3445,10/26/23,5/26/22,5,238160,Contractors - Roofing,Construction and Renovation Services,27,125,3375,0,"$42,914 ",98665,Vancouver,Washington,Sydney Stansell,Sydney Stansell,3375,19,64125.0,20-49 employees,20-49 employees,5.5,,0,27,0,3375,12/11/23,Decreasing,2668
Leap,EYT4lCAnhs,"Jacob Family, Inc.",Tier 3,Premium 2019,0014100000i8UNY,1134,11/7/23,9/7/17,9,not found,Contractors - Building,Construction and Renovation Services,30,60,1800,2500,"$95,181 ",62208,Fairview Heights,IL,Sydney Stansell,Sydney Stansell,1800,75,135000.0,20-49 employees,20-49 employees,5.5,18,0,30,0,1800,12/11/23,Decreasing,3341
Leap,3dqYG9ZVOz,Janney Roofing,Tier 3,SalesPro Enterprise 2023,0011K00002O8oUM,7068,10/27/23,9/27/23,9,238160,Contractors - Roofing,Construction and Renovation Services,40,80,3200,0,"$3,200 ",32807,ORLANDO,FL,Jordan Kahlenberg,Jordan Kahlenberg,3200,3,9600.0,20-49 employees,20-49 employees,5.5,,0,40,0,3200,12/8/23,Decreasing,167
Leap,e2BrSTZjhe,Joyce Factory Direct,Tier 3,Premium 2019,00141000018dszs,1183,10/28/23,11/28/17,11,not found,Glass Products & Services,Design and Interior Services,30,50,1500,1500,"$69,251 ",44017,Berea,OH,Yesenia Romero,Yesenia Romero,1500,73,109500.0,20-49 employees,20-49 employees,5.5,25,0,30,0,1500,12/11/23,Decreasing,3049
Leap,EDEcQ137j2,K&P Remodeling,Tier 3,Premium 2021,0011K00002YKaTX,3567,10/30/23,8/30/22,8,236118,Home Improvement & Remodeling Services,Construction and Renovation Services,25,70,1750,1000,"$19,500 ",37932,KNOXVILLE,TN,Sydney Stansell,Sydney Stansell,1750,16,28000.0,20-49 employees,20-49 employees,5.5,,0,25,0,1750,12/11/23,Increasing,1404
Leap,WtEjaISe3t,Lifetime Bath and Shower,Tier 3,Enterprise 2021,0011K00002YLxWO,5683,10/28/23,12/12/22,12,not found,Glass Products & Services,Design and Interior Services,33,75,2475,0,"$29,436 ",,,CO,Yesenia Romero,Yesenia Romero,2475,12,29700.0,20-49 employees,20-49 employees,5.5,,0,33,0,2475,12/11/23,Increasing,7000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leap,MIj2BijVlL,Locktight Impact Windows and Doors,Tier 3,Premium 2020,0011K00002H4Dfi,2848,10/11/23,3/11/21,3,423310,Glass Products & Services,Design and Interior Services,23,105,2415,0,"$82,486 ",33312,Ft Lauderdale,FL,Sydney Stansell,Sydney Stansell,2415,33,79695.0,20-49 employees,20-49 employees,5.5,5,0,23,0,2415,12/11/23,Increasing,5244
Leap,n11vBihrNu,Love Your Bath,Tier 3,Premium 2020,0011K00002LSXVM,2635,10/23/23,7/23/20,7,not found,Contractors - Building,Construction and Renovation Services,46,55,2530,500,"$77,316 ",33626,Tampa Bay,FL,Jordan Kahlenberg,Jordan Kahlenberg,2530,41,103730.0,20-49 employees,20-49 employees,5.5,10,0,46,0,2530,12/10/23,Decreasing,0
Leap,KNCFzE1gB1,Midwest Bath Co.,Tier 3,Premium 2019,00141000013vfra,1157,10/26/23,10/26/17,10,not found,Contractors - Building,Construction and Renovation Services,30,60,1800,2500,"$141,233 ",61265,Moline,IL,Yesenia Romero,Yesenia Romero,1800,74,133200.0,20-49 employees,20-49 employees,5.5,30,0,30,0,1800,12/11/23,Decreasing,4317
Leap,OTBj7RMAoG,MR. FIX-IT,Tier 3,Premium 2019,0011K00002H49ht,2246,10/30/23,12/30/19,12,not found,Contractors - Building,Construction and Renovation Services,25,94.05,2351.25,0,"$73,653 ",23005,Ashland,Virginia,Colton Temanson,Colton Temanson,2351.25,48,112860.0,20-49 employees,20-49 employees,5.5,7,0,25,0,2351.25,12/11/23,Decreasing,2912
Leap,HTXc1yKWsI,Newhaus Construction,Tier 2,Premium 2021,0011K00002YLQxg,5638,11/5/23,12/5/22,12,not found,Contractors - Building,Construction and Renovation Services,19,85,1615,500,"$15,971 ",91606,North Hollywood,CA,Yesenia Romero,Yesenia Romero,1615,12,19380.0,20-49 employees,20-49 employees,5.5,25,0,19,0,1615,12/11/23,Decreasing,814
Leap,qMhpJW9h6f,Now Remodeling,Tier 3,Premium 2019,0011K000025mWRN,1564,10/15/23,2/25/19,2,236118,Glass Products & Services,Design and Interior Services,31,80,2480,1000,"$80,991 ",99218,Spokane,WA,Sydney Stansell,Sydney Stansell,2480,58,143840.0,20-49 employees,20-49 employees,5.5,5,0,31,0,2480,12/10/23,Decreasing,1052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leap,SAdqRSr14f,Payless Kitchen and Bath,Tier 3,Premium 2019,0014100001SZFOK,2148,10/31/23,10/31/19,10,not found,Contractors - Building,Construction and Renovation Services,20,55,1100,1500,"$38,181 ",91204,Glendale,CA,Yesenia Romero,Yesenia Romero,1100,50,55000.0,20-49 employees,20-49 employees,5.5,5,0,20,0,1100,12/10/23,Decreasing,0
Leap,ADtZyvmdD0,Phillips Home Improvements,Tier 3,Enterprise 2021,0011K000027SvHh,2889,10/14/23,4/14/21,4,not found,Contractors - Building,Construction and Renovation Services,23,100,2300,0,"$67,979 ",75074,Plano,Utah,Yesenia Romero,Yesenia Romero,2300,32,73600.0,20-49 employees,20-49 employees,5.5,12,0,23,0,2300,12/11/23,Decreasing,4165
Leap,O6vqsGxr3Z,Presidential Exteriors,Tier 2,Premium 2021,00141000017CbYB,3229,10/31/23,12/31/21,12,not found,Contractors - Roofing,Construction and Renovation Services,43,65,2795,0,"$48,673 ",20850,Rockville,Maryland,Jordan Kahlenberg,Jordan Kahlenberg,2795,24,67080.0,20-49 employees,20-49 employees,5.5,,0,43,0,2795,12/11/23,Decreasing,0
Leap,XmapphCXFV,RB Pro Inc (ReBath Pittsburgh),Tier 3,Premium 2019,00141000019QEvk,1178,10/27/23,11/17/17,11,not found,Contractors - Building,Construction and Renovation Services,25,60,1500,2500,"$80,523 ",,Pittsburgh,PA,Francesca Furnells,Francesca Furnells,1500,73,109500.0,20-49 employees,20-49 employees,5.5,15,0,25,0,1500,12/9/23,Increasing,752
Leap,2Guk4fzIYO,Re-Bath of Idaho (IBS),Tier 3,Premium 2019,0011K0000223XJh,1431,11/4/23,1/4/19,1,not found,Contractors - Building,Construction and Renovation Services,44,60.5,2662,2500,"$112,396 ",83642,Meridian,Idaho,Yesenia Romero,Yesenia Romero,2662,59,157058.0,20-49 employees,20-49 employees,5.5,5,0,44,0,2662,12/11/23,Decreasing,4939
Leap,nwJ5bDBuJs,Re-Bath of Utah,Tier 3,Premium 2019,0014100001aEWs0,1274,10/27/23,4/27/18,4,not found,Contractors - Building,Construction and Renovation Services,22,60.5,1331,2000,"$70,977 ",84115-2623,Salt Lake City,UT,Jordan Kahlenberg,Jordan Kahlenberg,1331,68,90508.0,20-49 employees,20-49 employees,5.5,4,0,22,0,1331,12/10/23,Decreasing,3787
Leap,5zR7x1Y2Ax,River Valley Remodelers,Tier 3,Premium 2021,0011K00002Sib4v,3135,10/29/23,10/29/21,10,not found,Contractors - Building,Construction and Renovation Services,20,84,1680,0,"$24,667 ",,,WI,Yesenia Romero,Yesenia Romero,1680,26,43680.0,20-49 employees,20-49 employees,5.5,,0,20,0,1680,12/11/23,Decreasing,1774
Leap,HDlmk7wQDO,Rome Bath Remodel,Tier 3,Premium 2020,0014100001SZdoO,2637,10/27/23,7/27/20,7,not found,Contractors - Building,Construction and Renovation Services,26,50,1300,2500,"$39,957 ",18704,Forty Fort,PA,Sydney Stansell,Sydney Stansell,1300,41,53300.0,20-49 employees,20-49 employees,5.5,11,0,26,0,1300,12/10/23,Decreasing,7027
Leap,XiwF5OqX4t,Shower Transformations,Tier 3,Premium 2020,0014100001PKJMN,2608,11/7/23,7/7/20,7,not found,Contractors - Building,Construction and Renovation Services,20,74.9,1498,0,"$52,328 ",8007,Barrington,NJ,Corey Stroup Mishenko,Corey Stroup Mishenko,1498,41,61418.0,20-49 employees,20-49 employees,5.5,16,0,20,0,1498,12/11/23,Decreasing,1432
Leap,4O0ghTyuex,Southwest Blinds & Shutters,Tier 3,Enterprise 2021,0011K00002R2wxy,3490,11/6/23,7/6/22,7,not found,Housewares & Home Decor,Design and Interior Services,18,112.5,2025,0,"$29,168 ",,,AZ,Sydney Stansell,Sydney Stansell,2025,17,34425.0,20-49 employees,20-49 employees,5.5,25,0,18,0,2025,12/1/23,Decreasing,0
Leap,bmq2EQ1156,The Window Source,Tier 3,SalesPro Enterprise 2023,0011K00002d7N60,6757,10/31/23,6/19/23,6,not found,,Other,30,85,2550,0,"$7,650 ",,,PA,Jordan Kahlenberg,Jordan Kahlenberg,2550,6,15300.0,20-49 employees,20-49 employees,5.5,,0,30,0,2550,6/30/23,No Change,0
Leap,HnSHtEaRO4,Tom Adams Windows & Carpets,Tier 2,Premium 2019,0014100001PNF7H,1248,10/16/23,3/16/18,3,238330,Glass Products & Services,Design and Interior Services,15,80.75,1211.25,1500,"$57,366 ",18966,Churchville,PA,Sydney Stansell,Sydney Stansell,1211.25,69,83576.3,20-49 employees,20-49 employees,5.5,30,0,15,0,1211.25,12/10/23,Decreasing,0
Leap,j98J20rep6,USA green,Tier 3,Premium 2019,0011K00002CS8Tz,1960,10/30/23,6/20/19,6,not found,,Other,29,85.5,2479.5,600,"$69,913 ",33328,Davie,FL,Sydney Stansell,Sydney Stansell,2479.5,54,133893.0,20-49 employees,20-49 employees,5.5,11,0,29,0,2479.5,12/11/23,Increasing,2524
Leap,AJcmzXBtu2,Vista Home Improvement,Tier 2,Premium 2019,0014100001NE8je,1229,10/13/23,2/13/18,2,not found,Contractors - Building,Construction and Renovation Services,27,85.5,2308.5,2000,"$127,104 ",1089,west springfield,Massachusetts,Jordan Kahlenberg,Jordan Kahlenberg,2308.5,70,161595.0,20-49 employees,20-49 employees,5.5,5,0,27,0,2308.5,12/9/23,Decreasing,1332
Leap,o5piyLFpGs,Western Timber Frame,Tier 3,Enterprise 2021,0011K00002VONcS,3470,10/17/23,6/17/22,6,not found,Landscaping Services & Supplies,Landscaping and Outdoor Services,20,110,2200,0,"$41,200 ",,,UT,Corey Stroup Mishenko,Corey Stroup Mishenko,2200,18,39600.0,20-49 employees,20-49 employees,5.5,30,0,20,0,2200,12/10/23,Decreasing,0
Leap,ALdr3EnY6Y,Window World of Long Island,Tier 3,Enterprise 2021,0011K00002WFi8M,3479,10/28/23,6/28/22,6,not found,Contractors - Siding,Construction and Renovation Services,25,93.75,2343.75,0,"$21,094 ",,,NY,Yesenia Romero,Yesenia Romero,2343.75,18,42187.5,20-49 employees,20-49 employees,5.5,,0,25,0,2343.75,10/3/23,No Change,0
Leap,NGhM9VWQUB,Windows Direct USA,Tier 2,Enterprise 2021,0011K000025m0hs,3033,10/13/23,8/13/21,8,238130,Glass Products & Services,Design and Interior Services,21,100,2100,0,"$44,004 ",45242,Blue Ash,Ohio,Jordan Kahlenberg,Jordan Kahlenberg,2100,28,58800.0,20-49 employees,20-49 employees,5.5,,0,21,0,2100,12/11/23,Decreasing,2356
Leap,kG04OD0FkS,WindowWall,Tier 3,SalesPro Team 2023,0011K00002O8mHE,6466,11/7/23,4/7/23,4,not found,Glass Products & Services,Design and Interior Services,28,74,2072,0,"$12,012 ",33619,Tampa,FL,Jordan Kahlenberg,Jordan Kahlenberg,2072,8,16576.0,20-49 employees,20-49 employees,5.5,13,0,28,0,2072,12/11/23,Decreasing,3745
Leap,x20sAjQRWz,Wonder Windows,Tier 2,Enterprise 2021,0014100000gFgzV,2909,10/29/23,4/29/21,4,444110,Contractors - Building,Construction and Renovation Services,20,100,2000,0,"$60,525 ",14620,Rochester,NY,Jordan Kahlenberg,Jordan Kahlenberg,2000,32,64000.0,20-49 employees,20-49 employees,5.5,10,0,20,0,2000,12/10/23,Decreasing,0
Leap,Ukm8eTxzZG,Yankee Home Improvement,Tier 3,Premium 2019,0014100000yMO12,1199,10/20/23,12/20/17,12,not found,Contractors - Building,Construction and Renovation Services,30,54,1620,2000,"$85,144 ",1022,CHICOPEE,MA,Sydney Stansell,Sydney Stansell,1620,72,116640.0,20-49 employees,20-49 employees,5.5,14,0,30,0,1620,12/11/23,Increasing,2018
Leap,MMvnaevpGo,1 Day Bath Arizona,Tier 3,Premium 2019,0011K00002H6DTd,2363,10/29/23,2/29/20,2,not found,Contractors - Building,Construction and Renovation Services,1,137.5,137.5,2000,"$7,888 ",85209,Mesa,AZ,Corey Stroup Mishenko,Corey Stroup Mishenko,137.5,46,6325.0,10-19 employees,10-19 employees,4,1,0,1,0,137.5,12/8/23,Increasing,122
Leap,5Z2hoiyhG1,7th State Builders,Tier 3,Premium 2019,0011K00002ESJpF,2136,10/24/23,10/24/19,10,not found,Contractors - Building,Construction and Renovation Services,10,104.5,1045,1625,"$54,722 ",,Owings,MD,Yesenia Romero,Yesenia Romero,1045,50,52250.0,10-19 employees,10-19 employees,4,1,0,10,0,1045,12/9/23,Decreasing,586
